Id, Description, Occupation, First name, Last name
5, "Demetriades has featured in the films Nerve and Around The Block. Her theatre roles include Bell Shakespeare's Pericles, for which she was nominated for a 2009 Green Room Award.", Actress, Andrea, Demetriades
3, "He is a Russian professional ice hockey winger and alternate captain for the New York Rangers of the National Hockey League (NHL).", Hockey player, Artemi-Sergeyevich, Panarin
6, "She is an actress and writer, known for Eddy and Viv (2013), Crownies (2011) and Panic at Rock Island (2011).", Actress, Chantelle, Jamieson
7, "Henley sang the lead vocals on Eagles hits such as Hotel California and Life in the Fast Lane.", Singer, Donald-Hugh, Henley
1, "He is a British musician and actor, best known as the drummer, co-founder, and leader of the rock band Fleetwood Mac.", Singer, Mick, Fleetwood
4, "He is a Canadian professional ice hockey player and captain of the Pittsburgh Penguins of the National Hockey League (NHL). Nicknamed Sid the Kid, Crosby was selected first overall by the Penguins in the 2005 NHL Entry Draft.", Hockey player, Sidney-Patrick, Crosby
2, "She is known for her distinctive voice, mystical stage persona and poetic, symbolic lyrics", Singer, Stevie-Lynn, Nicks
